PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
4.479428729928986,-0.6444516029431577,0.5897269041768668,0.001318318621825242,-0.5702097346742157,-1.1471679591761832,0.14551626787307487,0.03844495991394052,1.3136870274797352,0.8997295774420951,-0.05561404945177771,1.1246994112803772,-1.1871233665270342,0.9311240035680951,-0.4004218176319555,0.8796585141235991,0.7859174351323542,0.23892550916038838,-0.6789088169392405,0.8135458658157673,-0.4985947676397012
-0.015571822958891117,0.3057493654384555,-0.7490047574821853,-1.7315461118500741,-1.5102374240749683,0.962783086516373,1.097446795042467,0.24265209481564656,-0.005259400395882958,-1.11346758882635,1.588208914288476,-0.5086596133169232,-0.0944881462954725,-0.6257419874627578,0.13295869615404898,0.2628170180306491,0.32572196588081953,-0.7163662567640693,0.19691494607062424,0.9703419340296492,0.4493353951975848
-0.40350357054195335,0.3389614629665821,0.27685072137845973,-0.6373008086470582,-0.20660459615543408,0.029737963296587688,0.7146872189385948,-0.5547984274185994,0.1352564485540413,1.150531970829167,-0.484762026060064,-0.3596763718670311,0.32011249535997827,-0.45335739877090075,0.5180767544771087,-0.4479632696415425,-1.0577337320348,-1.2193541275402338,-0.8946952889530851,1.2471561959880206,0.21937380099056186
3.8113462902372666,1.3012856290559325,0.7051338628720352,-0.5825861335241451,0.9496424967810629,-2.1427429167925287,1.363129158579451,-1.451746879273961,-1.0868694250059607,1.5532706140956019,-0.37303588740308324,0.9313036438609119,-1.0431744567583,0.571380532671209,0.934995347882047,0.5495615735284924,-0.17264031932621862,-0.9476762260632077,-0.3579182990119763,0.6804743957791537,-0.7196562084100521
-3.4146938390187302,1.6560208797282747,0.45440347373734197,-2.220757386617457,-0.18570361091254253,-0.5708381595969818,-0.22946171525156386,-0.3468007564581914,0.9658716439595232,-0.9564687110525596,-0.6778841864758599,0.39708586843127136,0.9519070464149685,-0.08110917297379702,-0.521686880985602,-1.3055025960616946,-0.4969485000655145,1.3564117403060614,0.28294753831956776,0.437895899049193,0.5479486821921549
-4.101074650272193,-0.14219716531921206,-1.175448119229677,-0.23969274245714461,-0.7880882394436282,1.0393218987105983,0.19902917903180664,-1.1137964161486806,-0.19856684644693476,-2.0185952386088553,1.1546399724471437,-0.6847651632477556,0.3091804890109584,0.575985238167705,0.44721836565186995,-0.2298757962868295,1.1888105778320084,-0.8494090703581747,0.1638789698388394,-0.1233125183514482,-1.4011632679145793
-4.984461355071092,0.04438259661412244,0.1455353284401387,0.8397903999265287,-0.3709783592373813,0.7461153436709864,0.7777599882512801,-0.31727103179618504,-0.18491013052937413,0.752558674946783,-0.9198005831853416,-1.0022447086435196,-0.4340879993071589,-2.0304746756756065,-0.5829544608956782,-0.591299295868407,-0.6926324356128499,0.8532276269653721,-0.1311095172524265,0.450548530885805,0.26323715568108597
0.48035843993251903,-1.4942882437502258,0.05468247413740351,0.7241350674586208,-0.7292945806816317,-0.0158243420934054,0.3303564627802455,2.200621989309492,0.45614117840049884,0.5773747005491887,0.00043070511574610614,0.8579245769401567,-0.045222383481631614,0.2388228013942826,1.388655948391881,-0.5366103025466935,-0.5458398235970152,-0.7365323789339563,0.6597001175903184,1.861425276540406,-0.7801885379765457
2.6345562993515395,-0.07316221881063868,0.6118686107966197,-1.1319272533962614,1.3854074188704768,0.18081951872548924,-0.632276677437347,0.8753892481116243,1.330880251440048,1.0645555738471062,-1.152845127200758,-0.3174918861387916,0.0666710463715352,0.9836218322476261,0.8256219428175988,2.030506783541017,0.2738273981073802,0.9926783221918808,0.024241859747350106,0.3878427589048592,-0.3541444729927821
-0.9231253099221876,-1.0766330182649284,-0.019969421658158796,0.050642408326952645,-0.14538283150546555,1.0799380446047089,2.600854766554194,-1.4068370295812576,-0.8383841833498942,0.3046244179995142,0.33022333208171584,-0.7903316932327916,0.7737348179941828,-1.259576568980292,0.15256075022109786,-1.1168229787155124,-0.7555957288444778,-0.03679560771320912,0.018563472130673237,0.403102081262829,-0.10154023851367883
